XLabel.Wavenumber
YLabel.%Transmittance
FileType.%Transmittance
DisplayDirection.20300
PeakDirection.20311
1174,111419.-17,017525
1175,975088.-17,284640
1177,838757.-17,524759
1179,702425.-17,749736
1181,566094.-17,926573
1183,429763.-18,054160
1185,293432.-18,146342
1187,157101.-18,264650
1189,020770.-18,440955
1190,884439.-18,700728
1192,748108.-18,949436
1194,611777.-19,204098
1196,475446.-19,538347
1198,339115.-19,876715
1200,202784.-20,250202
1202,066453.-20,690657
1203,930121.-21,176918
1205,793790.-21,680727
1207,657459.-22,097893
1209,521128.-22,473081
1211,384797.-22,853123
1213,248466.-23,181558
1215,112135.-23,505887
1216,975804.-23,727210
1218,839473.-23,821469
1220,703142.-23,837972
1222,566811.-23,723565
1224,430480.-23,586658
1226,294148.-23,424112
1228,157817.-23,219084
1230,021486.-23,147717
1231,885155.-23,179393
1233,748824.-23,181856
1235,612493.-23,227735
1237,476162.-23,353873
1239,339831.-23,555758
1241,203500.-23,703321
1243,067169.-23,655467
1244,930838.-23,453074
1246,794507.-23,311643
1248,658175.-23,203067
1250,521844.-23,103598
1252,385513.-23,095519
1254,249182.-23,119483
1256,112851.-23,170641
1257,976520.-23,267066
1259,840189.-23,389735
1261,703858.-23,498049
1263,567527.-23,551324
1265,431196.-23,570829
1267,294865.-23,530449
1269,158534.-23,441311
1271,022202.-23,332658
1272,885871.-23,142962
1274,749540.-22,833162
1276,613209.-22,424395
1278,476878.-21,942646
1280,340547.-21,409452
1282,204216.-20,823666
1284,067885.-20,179749
1285,931554.-19,452248
1287,795223.-18,685098
1289,658892.-18,055059
1291,522561.-17,521949
1293,386230.-16,830637
1295,249898.-16,102055
1297,113567.-15,508993
1298,977236.-14,977881
1300,840905.-14,493481
1302,704574.-14,111715
1304,568243.-13,751817
1306,431912.-13,410097
1308,295581.-13,217735
1310,159250.-13,089988
1312,022919.-12,961740
1313,886588.-12,979672
1315,750257.-13,061032
1317,613925.-13,127091
1319,477594.-13,223189
